Date,Close/Last,Open,High,Low
12/28/2017,2687.54,2686.10,2687.66,2682.69
12/27/2017,2682.62,2682.10,2685.64,2678.91
12/26/2017,2680.50,2679.09,2682.74,2677.96
12/22/2017,2683.34,2684.22,2685.35,2678.13
12/21/2017,2684.57,2683.02,2692.64,2682.40
12/20/2017,2679.25,2688.18,2691.01,2676.11
12/19/2017,2681.47,2692.71,2694.44,2680.74
12/18/2017,2690.16,2685.92,2694.97,2685.92
12/15/2017,2675.81,2660.63,2679.63,2659.14
12/14/2017,2652.01,2665.87,2668.09,2652.01
12/13/2017,2662.85,2667.59,2671.88,2662.85
12/12/2017,2664.11,2661.73,2669.72,2659.78
12/11/2017,2659.99,2652.19,2660.33,2651.47
12/08/2017,2651.50,2646.21,2651.65,2644.10
12/07/2017,2636.98,2628.38,2640.99,2626.53
12/06/2017,2629.27,2626.24,2634.41,2624.75
12/05/2017,2629.57,2639.78,2648.72,2627.73
12/04/2017,2639.44,2657.19,2665.19,2639.03
12/01/2017,2642.22,2645.10,2650.62,2605.52
11/30/2017,2647.58,2633.93,2657.74,2633.93
11/29/2017,2626.07,2627.82,2634.89,2620.32
11/28/2017,2627.04,2605.94,2627.69,2605.44
11/27/2017,2601.42,2602.66,2606.41,2598.87
11/24/2017,2602.42,2600.42,2604.21,2600.42
11/22/2017,2597.08,2600.31,2600.94,2595.23
11/21/2017,2599.03,2589.17,2601.19,2589.17
11/20/2017,2582.14,2579.49,2584.64,2578.24
11/17/2017,2578.85,2582.94,2583.96,2577.62
11/16/2017,2585.64,2572.95,2590.09,2572.95
11/15/2017,2564.62,2569.45,2572.84,2557.45
11/14/2017,2578.87,2577.75,2579.66,2566.56
11/13/2017,2584.84,2576.53,2587.66,2574.48
11/10/2017,2582.30,2580.18,2583.81,2575.57
11/09/2017,2584.62,2584.00,2586.50,2566.33
11/08/2017,2594.38,2588.71,2595.47,2585.02
11/07/2017,2590.64,2592.11,2597.02,2584.35
11/06/2017,2591.13,2587.47,2593.38,2585.66
11/03/2017,2587.84,2581.93,2588.42,2576.77
11/02/2017,2579.85,2579.46,2581.11,2566.17
11/01/2017,2579.36,2583.21,2588.40,2574.92
10/31/2017,2575.26,2575.99,2578.29,2572.15
10/30/2017,2572.83,2577.75,2580.03,2568.25
10/27/2017,2581.07,2570.26,2582.98,2565.94
10/26/2017,2560.40,2560.08,2567.07,2559.80
10/25/2017,2557.15,2566.52,2567.40,2544.00
10/24/2017,2569.13,2568.66,2572.18,2565.58
10/23/2017,2564.98,2578.08,2578.29,2564.33
10/20/2017,2575.21,2567.56,2575.44,2567.56
10/19/2017,2562.10,2553.39,2562.36,2547.92
10/18/2017,2561.26,2562.87,2564.11,2559.67
10/17/2017,2559.36,2557.17,2559.71,2554.69
10/16/2017,2557.64,2555.57,2559.47,2552.64
10/13/2017,2553.17,2555.66,2557.65,2552.09
10/12/2017,2550.93,2552.88,2555.33,2548.31
10/11/2017,2555.24,2550.62,2555.24,2547.95
10/10/2017,2550.64,2549.99,2555.23,2544.86
10/09/2017,2544.73,2551.39,2551.82,2541.60
10/06/2017,2549.33,2547.44,2549.41,2543.79
10/05/2017,2552.07,2540.86,2552.51,2540.02
10/04/2017,2537.74,2533.48,2540.53,2531.80
10/03/2017,2534.58,2530.34,2535.13,2528.85
10/02/2017,2529.12,2521.20,2529.23,2520.40
09/29/2017,2519.36,2509.96,2519.44,2507.99
09/28/2017,2510.06,2503.41,2510.81,2502.93
09/27/2017,2507.04,2503.30,2511.75,2495.91
09/26/2017,2496.84,2501.04,2503.51,2495.12
09/25/2017,2496.66,2499.39,2502.54,2488.03
09/22/2017,2502.22,2497.26,2503.47,2496.54
09/21/2017,2500.60,2507.16,2507.16,2499.00
09/20/2017,2508.24,2506.84,2508.85,2496.67
09/19/2017,2506.65,2506.29,2507.84,2503.19
09/18/2017,2503.87,2502.51,2508.32,2499.92
09/15/2017,2500.23,2495.67,2500.23,2493.16
09/14/2017,2495.62,2494.56,2498.43,2491.35
09/13/2017,2498.37,2493.89,2498.37,2492.14
09/12/2017,2496.48,2491.94,2496.77,2490.37
09/11/2017,2488.11,2474.52,2488.95,2474.52
09/08/2017,2461.43,2462.25,2467.11,2459.40
09/07/2017,2465.10,2468.06,2468.62,2460.29
09/06/2017,2465.54,2463.83,2469.64,2459.20
09/05/2017,2457.85,2470.35,2471.97,2446.55
09/01/2017,2476.55,2474.42,2480.38,2473.85
08/31/2017,2471.65,2462.65,2475.01,2462.65
08/30/2017,2457.59,2446.06,2460.31,2443.77
08/29/2017,2446.30,2431.94,2449.19,2428.20
08/28/2017,2444.24,2447.35,2449.12,2439.03
08/25/2017,2443.05,2444.72,2453.96,2442.22
08/24/2017,2438.97,2447.91,2450.39,2436.19
08/23/2017,2444.04,2444.88,2448.91,2441.42
08/22/2017,2452.51,2433.75,2454.77,2433.67
08/21/2017,2428.37,2425.50,2430.58,2417.35
08/18/2017,2425.55,2427.64,2440.27,2420.69
08/17/2017,2430.01,2462.95,2465.02,2430.01
08/16/2017,2468.11,2468.63,2474.93,2463.86
08/15/2017,2464.61,2468.66,2468.90,2461.61
08/14/2017,2465.84,2454.96,2468.22,2454.96
08/11/2017,2441.32,2441.04,2448.09,2437.85
08/10/2017,2438.21,2465.38,2465.38,2437.75
08/09/2017,2474.02,2465.35,2474.41,2462.08
08/08/2017,2474.92,2478.35,2490.87,2470.32
08/07/2017,2480.91,2477.14,2480.95,2475.88
08/04/2017,2476.83,2476.88,2480.00,2472.08
08/03/2017,2472.16,2476.03,2476.03,2468.85
08/02/2017,2477.57,2480.38,2480.38,2466.48
08/01/2017,2476.35,2477.10,2478.51,2471.14
07/31/2017,2470.30,2475.94,2477.96,2468.53
07/28/2017,2472.10,2469.12,2473.53,2464.66
07/27/2017,2475.42,2482.76,2484.04,2459.93
07/26/2017,2477.83,2479.97,2481.69,2474.94
07/25/2017,2477.13,2477.88,2481.24,2474.91
07/24/2017,2469.91,2472.04,2473.10,2466.32
07/21/2017,2472.54,2467.40,2472.54,2465.06
07/20/2017,2473.45,2475.56,2477.62,2468.43
07/19/2017,2473.83,2463.85,2473.83,2463.85
07/18/2017,2460.61,2455.88,2460.92,2450.34
07/17/2017,2459.14,2459.50,2462.82,2457.16
07/14/2017,2459.27,2449.16,2463.54,2446.69
07/13/2017,2447.83,2444.99,2449.32,2441.69
07/12/2017,2443.25,2435.75,2445.76,2435.75
07/11/2017,2425.53,2427.35,2429.30,2412.79
07/10/2017,2427.43,2424.51,2432.00,2422.27
07/07/2017,2425.18,2413.52,2426.92,2413.52
07/06/2017,2409.75,2423.44,2424.28,2407.70
07/05/2017,2432.54,2430.78,2434.90,2422.05
07/03/2017,2429.01,2431.39,2439.17,2428.69
06/30/2017,2423.41,2429.20,2432.71,2421.65
06/29/2017,2419.70,2442.38,2442.73,2405.70
06/28/2017,2440.69,2428.70,2442.97,2428.02
06/27/2017,2419.38,2436.34,2440.15,2419.38
06/26/2017,2439.07,2443.32,2450.42,2437.03
06/23/2017,2438.30,2434.65,2441.40,2431.11
06/22/2017,2434.50,2437.40,2441.62,2433.27
06/21/2017,2435.61,2439.31,2442.23,2430.74
06/20/2017,2437.03,2450.66,2450.66,2436.60
06/19/2017,2453.46,2442.55,2453.82,2441.79
06/16/2017,2433.15,2431.24,2433.15,2422.88
06/15/2017,2432.46,2424.14,2433.95,2418.53
06/14/2017,2437.92,2443.75,2443.75,2428.34
06/13/2017,2440.35,2434.15,2441.49,2431.28
06/12/2017,2429.39,2425.88,2430.38,2419.97
06/09/2017,2431.77,2436.39,2446.20,2415.70
06/08/2017,2433.79,2434.27,2439.27,2427.94
06/07/2017,2433.14,2432.03,2435.28,2424.75
06/06/2017,2429.33,2431.92,2436.21,2428.12
06/05/2017,2436.10,2437.83,2439.55,2434.32
06/02/2017,2439.07,2431.28,2440.23,2427.71
06/01/2017,2430.06,2415.65,2430.06,2413.54
05/31/2017,2411.80,2415.63,2415.99,2403.59
05/30/2017,2412.91,2411.67,2415.26,2409.43
05/26/2017,2415.82,2414.50,2416.68,2412.20
05/25/2017,2415.07,2409.54,2418.71,2408.01
05/24/2017,2404.39,2401.41,2405.58,2397.99
05/23/2017,2398.42,2397.04,2400.85,2393.88
05/22/2017,2394.02,2387.21,2395.46,2386.92
05/19/2017,2381.73,2371.37,2389.06,2370.43
05/18/2017,2365.72,2354.69,2375.74,2352.72
05/17/2017,2357.03,2382.95,2384.87,2356.21
05/16/2017,2400.67,2404.55,2405.77,2396.05
05/15/2017,2402.32,2393.98,2404.05,2393.94
05/12/2017,2390.90,2392.44,2392.44,2387.19
05/11/2017,2394.44,2394.84,2395.72,2381.74
05/10/2017,2399.63,2396.79,2399.74,2392.79
05/09/2017,2396.92,2401.58,2403.87,2392.44
05/08/2017,2399.38,2399.94,2401.36,2393.92
05/05/2017,2399.29,2392.37,2399.29,2389.38
05/04/2017,2389.52,2389.79,2391.43,2380.35
05/03/2017,2388.13,2386.50,2389.82,2379.75
05/02/2017,2391.17,2391.05,2392.93,2385.82
05/01/2017,2388.33,2388.50,2394.49,2384.83
04/28/2017,2384.20,2393.68,2393.68,2382.36
04/27/2017,2388.77,2389.70,2392.10,2382.68
04/26/2017,2387.45,2388.98,2398.16,2386.76
04/25/2017,2388.61,2381.51,2392.48,2381.15
04/24/2017,2374.15,2370.33,2376.98,2369.19
04/21/2017,2348.69,2354.74,2356.18,2344.51
04/20/2017,2355.84,2342.69,2361.37,2340.91
04/19/2017,2338.17,2346.79,2352.63,2335.05
04/18/2017,2342.19,2342.53,2348.35,2334.54
04/17/2017,2349.01,2332.62,2349.14,2332.51
04/13/2017,2328.95,2341.98,2348.26,2328.95
04/12/2017,2344.93,2352.15,2352.72,2341.18
04/11/2017,2353.78,2353.92,2355.22,2337.25
04/10/2017,2357.16,2357.16,2366.37,2351.50
04/07/2017,2355.54,2356.59,2363.76,2350.74
04/06/2017,2357.49,2353.79,2364.16,2348.90
04/05/2017,2352.95,2366.59,2378.36,2350.52
04/04/2017,2360.16,2354.76,2360.53,2350.72
04/03/2017,2358.84,2362.34,2365.87,2344.73
03/31/2017,2362.72,2364.82,2370.35,2362.60
03/30/2017,2368.06,2361.31,2370.42,2358.58
03/29/2017,2361.13,2356.54,2363.36,2352.94
03/28/2017,2358.57,2339.79,2363.78,2337.63
03/27/2017,2341.59,2329.11,2344.90,2322.25
03/24/2017,2343.98,2350.42,2356.22,2335.74
03/23/2017,2345.96,2345.97,2358.92,2342.13
03/22/2017,2348.45,2343.00,2351.81,2336.45
03/21/2017,2344.02,2379.32,2381.93,2341.90
03/20/2017,2373.47,2378.24,2379.55,2369.66
03/17/2017,2378.25,2383.71,2385.71,2377.64
03/16/2017,2381.38,2387.71,2388.10,2377.18
03/15/2017,2385.26,2370.34,2390.01,2368.94
03/14/2017,2365.45,2368.55,2368.55,2358.18
03/13/2017,2373.47,2371.56,2374.42,2368.52
03/10/2017,2372.60,2372.52,2376.86,2363.04
03/09/2017,2364.87,2363.49,2369.08,2354.54
03/08/2017,2362.98,2369.81,2373.09,2361.01
03/07/2017,2368.39,2370.74,2375.12,2365.51
03/06/2017,2375.31,2375.23,2378.80,2367.98
03/03/2017,2383.12,2380.92,2383.89,2375.39
03/02/2017,2381.92,2394.75,2394.75,2380.17
03/01/2017,2395.96,2380.13,2400.98,2380.13
02/28/2017,2363.64,2366.08,2367.79,2358.96
02/27/2017,2369.75,2365.23,2371.54,2361.87
02/24/2017,2367.34,2355.73,2367.34,2352.87
02/23/2017,2363.81,2367.50,2368.26,2355.09
02/22/2017,2362.82,2361.11,2365.13,2358.34
02/21/2017,2365.38,2354.91,2366.71,2354.91
02/17/2017,2351.16,2343.01,2351.16,2339.58
02/16/2017,2347.22,2349.64,2351.31,2338.87
02/15/2017,2349.25,2335.58,2351.30,2334.81
02/14/2017,2337.58,2326.12,2337.58,2322.17
02/13/2017,2328.25,2321.72,2331.58,2321.42
02/10/2017,2316.10,2312.27,2319.23,2311.10
02/09/2017,2307.87,2296.70,2311.08,2296.61
02/08/2017,2294.67,2289.55,2295.91,2285.38
02/07/2017,2293.08,2295.87,2299.40,2290.16
02/06/2017,2292.56,2294.28,2296.18,2288.57
02/03/2017,2297.42,2288.54,2298.31,2287.88
02/02/2017,2280.85,2276.69,2283.97,2271.65
02/01/2017,2279.55,2285.59,2289.14,2272.44
01/31/2017,2278.87,2274.02,2279.09,2267.21
01/30/2017,2280.90,2286.01,2286.01,2268.04
01/27/2017,2294.69,2299.02,2299.02,2291.62
01/26/2017,2296.68,2298.63,2300.99,2294.08
01/25/2017,2298.37,2288.88,2299.55,2288.88
01/24/2017,2280.07,2267.88,2284.63,2266.68
01/23/2017,2265.20,2267.78,2271.78,2257.02
01/20/2017,2271.31,2269.96,2276.96,2265.01
01/19/2017,2263.69,2271.90,2274.33,2258.41
01/18/2017,2271.89,2269.14,2272.01,2263.35
01/17/2017,2267.89,2269.14,2272.08,2262.81
01/13/2017,2274.64,2272.74,2278.68,2271.51
01/12/2017,2270.44,2271.14,2271.78,2254.25
01/11/2017,2275.32,2268.60,2275.32,2260.83
01/10/2017,2268.90,2269.72,2279.27,2265.27
01/09/2017,2268.90,2273.59,2275.49,2268.90
01/06/2017,2276.98,2271.14,2282.10,2264.06
01/05/2017,2269.00,2268.18,2271.50,2260.45
01/04/2017,2270.75,2261.60,2272.82,2261.60
01/03/2017,2257.83,2251.57,2263.88,2245.13
12/30/2016,2238.83,2251.61,2253.58,2233.62
12/29/2016,2249.26,2249.50,2254.51,2244.56
12/28/2016,2249.92,2270.23,2271.31,2249.11
12/27/2016,2268.88,2266.23,2273.82,2266.15
12/23/2016,2263.79,2260.25,2263.79,2258.84
12/22/2016,2260.96,2262.93,2263.18,2256.08
12/21/2016,2265.18,2270.54,2271.23,2265.15
12/20/2016,2270.76,2266.50,2272.56,2266.14
12/19/2016,2262.53,2259.24,2267.47,2258.21
12/16/2016,2258.07,2266.81,2268.05,2254.24
12/15/2016,2262.03,2253.77,2272.12,2253.77
12/14/2016,2253.28,2268.35,2276.20,2248.44
12/13/2016,2271.72,2263.32,2277.53,2263.32
12/12/2016,2256.96,2258.83,2264.03,2252.37
12/09/2016,2259.53,2249.73,2259.80,2249.23
12/08/2016,2246.19,2241.13,2251.69,2237.57
12/07/2016,2241.35,2210.72,2241.63,2208.93
12/06/2016,2212.23,2207.26,2212.78,2202.21
12/05/2016,2204.71,2200.65,2209.42,2199.97
12/02/2016,2191.95,2191.12,2197.95,2188.37
12/01/2016,2191.08,2200.17,2202.60,2187.44
11/30/2016,2198.81,2204.97,2214.10,2198.81
11/29/2016,2204.66,2200.76,2210.46,2198.15
11/28/2016,2201.72,2210.21,2211.14,2200.36
11/25/2016,2213.35,2206.27,2213.35,2206.27
11/23/2016,2204.72,2198.55,2204.72,2194.51
11/22/2016,2202.94,2201.56,2204.80,2194.51
11/21/2016,2198.18,2186.43,2198.70,2186.43
11/18/2016,2181.90,2186.85,2189.89,2180.38
11/17/2016,2187.12,2178.61,2188.06,2176.65
11/16/2016,2176.94,2177.53,2179.22,2172.20
11/15/2016,2180.39,2168.29,2180.84,2166.38
11/14/2016,2164.20,2165.64,2171.36,2156.08
11/11/2016,2164.45,2162.71,2165.92,2152.49
11/10/2016,2167.48,2167.49,2182.30,2151.17
11/09/2016,2163.26,2131.56,2170.10,2125.35
11/08/2016,2139.56,2129.92,2146.87,2123.56
11/07/2016,2131.52,2100.59,2132.00,2100.59
11/04/2016,2085.18,2083.79,2099.07,2083.79
11/03/2016,2088.66,2098.80,2102.56,2085.23
11/02/2016,2097.94,2109.43,2111.76,2094.00
11/01/2016,2111.72,2128.68,2131.45,2097.85
10/31/2016,2126.15,2129.78,2133.25,2125.53
10/28/2016,2126.41,2132.23,2140.72,2119.36
10/27/2016,2133.04,2144.06,2147.13,2132.52
10/26/2016,2139.43,2136.97,2145.73,2131.59
10/25/2016,2143.16,2149.72,2151.44,2141.93
10/24/2016,2151.33,2148.50,2154.79,2146.91
10/21/2016,2141.16,2139.43,2142.63,2130.09
10/20/2016,2141.34,2142.51,2147.18,2133.44
10/19/2016,2144.29,2140.81,2148.44,2138.15
10/18/2016,2139.60,2138.31,2144.38,2135.49
10/17/2016,2126.50,2132.95,2135.61,2124.43
10/14/2016,2132.98,2139.68,2149.19,2132.98
10/13/2016,2132.55,2130.26,2138.19,2114.72
10/12/2016,2139.18,2137.67,2145.36,2132.77
10/11/2016,2136.73,2161.35,2161.56,2128.84
10/10/2016,2163.66,2160.39,2169.60,2160.39
10/07/2016,2153.74,2164.19,2165.86,2144.85
10/06/2016,2160.77,2158.22,2162.93,2150.28
10/05/2016,2159.73,2155.15,2163.95,2155.15
10/04/2016,2150.49,2163.37,2165.46,2144.01
10/03/2016,2161.20,2164.33,2164.41,2154.77
09/30/2016,2168.27,2156.51,2175.30,2156.51
09/29/2016,2151.13,2168.90,2172.67,2145.20
09/28/2016,2171.37,2161.85,2172.40,2151.79
09/27/2016,2159.93,2146.04,2161.13,2141.55
09/26/2016,2146.10,2158.54,2158.54,2145.04
09/23/2016,2164.69,2173.29,2173.75,2163.97
09/22/2016,2177.18,2170.94,2179.99,2170.94
09/21/2016,2163.12,2144.58,2165.11,2139.57
09/20/2016,2139.76,2145.94,2150.80,2139.17
09/19/2016,2139.12,2143.99,2153.61,2135.91
09/16/2016,2139.16,2146.48,2146.48,2131.20
09/15/2016,2147.26,2125.36,2151.31,2122.36
09/14/2016,2125.77,2127.86,2141.33,2119.90
09/13/2016,2127.02,2150.47,2150.47,2120.27
09/12/2016,2159.04,2120.86,2163.30,2119.12
09/09/2016,2127.81,2169.08,2169.08,2127.81
09/08/2016,2181.30,2182.76,2184.94,2177.49
09/07/2016,2186.16,2185.17,2187.87,2179.07
09/06/2016,2186.48,2181.61,2186.57,2175.10
09/02/2016,2179.98,2177.49,2184.87,2173.59
09/01/2016,2170.86,2171.33,2173.56,2157.09
08/31/2016,2170.95,2173.56,2173.79,2161.35
08/30/2016,2176.12,2179.45,2182.27,2170.41
08/29/2016,2180.38,2170.19,2183.48,2170.19
08/26/2016,2169.04,2175.10,2187.94,2160.39
08/25/2016,2172.47,2173.29,2179.00,2169.74
08/24/2016,2175.44,2185.09,2186.66,2171.25
08/23/2016,2186.90,2187.81,2193.42,2186.80
08/22/2016,2182.64,2181.58,2185.15,2175.96
08/19/2016,2183.87,2184.24,2185.00,2175.13
08/18/2016,2187.02,2181.90,2187.03,2180.46
08/17/2016,2182.22,2177.84,2183.08,2168.50
08/16/2016,2178.15,2186.24,2186.24,2178.14
08/15/2016,2190.15,2186.08,2193.81,2186.08
08/12/2016,2184.05,2183.74,2186.28,2179.42
08/11/2016,2185.79,2177.97,2188.45,2177.97
08/10/2016,2175.49,2182.81,2183.41,2172.00
08/09/2016,2181.74,2182.24,2187.66,2178.61
08/08/2016,2180.89,2183.76,2185.44,2177.85
08/05/2016,2182.87,2168.79,2182.87,2168.79
08/04/2016,2164.25,2163.51,2168.19,2159.07
08/03/2016,2163.79,2156.81,2163.79,2152.56
08/02/2016,2157.03,2169.94,2170.20,2147.58
08/01/2016,2170.84,2173.15,2178.29,2166.21
07/29/2016,2173.60,2168.83,2177.09,2163.49
07/28/2016,2170.06,2166.05,2172.85,2159.74
07/27/2016,2166.58,2169.81,2174.98,2159.07
07/26/2016,2169.18,2168.97,2173.54,2160.18
07/25/2016,2168.48,2173.71,2173.71,2161.95
07/22/2016,2175.03,2166.47,2175.11,2163.24
07/21/2016,2165.17,2172.91,2174.56,2159.75
07/20/2016,2173.02,2166.10,2175.63,2164.89
07/19/2016,2163.78,2163.79,2164.63,2159.01
07/18/2016,2166.89,2162.04,2168.35,2159.63
07/15/2016,2161.74,2165.13,2169.05,2155.79
07/14/2016,2163.75,2157.88,2168.99,2157.88
07/13/2016,2152.43,2153.81,2156.45,2146.21
07/12/2016,2152.14,2139.50,2155.40,2139.50
07/11/2016,2137.16,2131.72,2143.16,2131.72
07/08/2016,2129.90,2106.97,2131.71,2106.97
07/07/2016,2097.90,2100.42,2109.08,2089.39
07/06/2016,2099.73,2084.43,2100.72,2074.02
07/05/2016,2088.55,2095.05,2095.05,2080.86
07/01/2016,2102.95,2099.34,2108.71,2097.90
06/30/2016,2098.86,2073.17,2098.94,2070.00
06/29/2016,2070.77,2042.69,2073.13,2042.69
06/28/2016,2036.09,2006.67,2036.09,2006.67
06/27/2016,2000.54,2031.45,2031.45,1991.68
06/24/2016,2037.41,2103.81,2103.81,2032.57
06/23/2016,2113.32,2092.80,2113.32,2092.80
06/22/2016,2085.45,2089.75,2099.71,2084.36
06/21/2016,2088.90,2085.19,2093.66,2083.02
06/20/2016,2083.25,2075.58,2100.66,2075.58
06/17/2016,2071.22,2078.20,2078.20,2062.84
06/16/2016,2077.99,2066.36,2079.62,2050.37
06/15/2016,2071.50,2077.60,2085.65,2069.80
06/14/2016,2075.32,2076.65,2081.30,2064.10
06/13/2016,2079.06,2091.75,2098.12,2078.46
06/10/2016,2096.07,2109.57,2109.57,2089.96
06/09/2016,2115.48,2115.65,2117.64,2107.73
06/08/2016,2119.12,2112.71,2120.55,2112.71
06/07/2016,2112.13,2110.18,2119.22,2110.18
06/06/2016,2109.41,2100.83,2113.36,2100.83
06/03/2016,2099.13,2104.07,2104.07,2085.36
06/02/2016,2105.26,2097.71,2105.26,2088.59
06/01/2016,2099.33,2093.94,2100.97,2085.10
05/31/2016,2096.96,2100.13,2103.48,2088.66
05/27/2016,2099.06,2090.06,2099.06,2090.06
05/26/2016,2090.10,2091.44,2094.30,2087.08
05/25/2016,2090.54,2078.93,2094.73,2078.93
05/24/2016,2076.06,2052.65,2079.67,2052.65
05/23/2016,2048.04,2052.23,2055.58,2047.26
05/20/2016,2052.32,2041.88,2058.35,2041.88
05/19/2016,2040.04,2044.21,2044.21,2025.91
05/18/2016,2047.63,2044.38,2060.61,2034.49
05/17/2016,2047.21,2065.04,2065.69,2040.82
05/16/2016,2066.66,2046.53,2071.88,2046.53
05/13/2016,2046.61,2062.50,2066.79,2043.13
05/12/2016,2064.11,2067.17,2073.99,2053.13
05/11/2016,2064.46,2083.29,2083.29,2064.46
05/10/2016,2084.39,2062.63,2084.87,2062.63
05/09/2016,2058.69,2057.55,2064.15,2054.31
05/06/2016,2057.14,2047.77,2057.72,2039.45
05/05/2016,2050.63,2052.95,2060.23,2045.77
05/04/2016,2051.12,2060.30,2060.30,2045.55
05/03/2016,2063.37,2077.18,2077.18,2054.89
05/02/2016,2081.43,2067.17,2083.42,2066.11
04/29/2016,2065.30,2071.82,2073.85,2052.28
04/28/2016,2075.81,2090.93,2099.30,2071.62
04/27/2016,2095.15,2092.33,2099.89,2082.31
04/26/2016,2091.70,2089.84,2096.87,2085.80
04/25/2016,2087.79,2089.37,2089.37,2077.52
04/22/2016,2091.58,2091.49,2094.32,2081.20
04/21/2016,2091.48,2102.09,2103.78,2088.52
04/20/2016,2102.40,2101.52,2111.05,2096.32
04/19/2016,2100.80,2096.05,2104.05,2091.68
04/18/2016,2094.34,2078.83,2094.66,2073.65
04/15/2016,2080.73,2083.10,2083.22,2076.31
04/14/2016,2082.78,2082.89,2087.84,2078.13
04/13/2016,2082.42,2065.92,2083.18,2065.92
04/12/2016,2061.72,2043.72,2065.05,2039.74
04/11/2016,2041.99,2050.23,2062.93,2041.88
04/08/2016,2047.60,2045.54,2060.63,2041.69
04/07/2016,2041.91,2063.01,2063.01,2033.80
04/06/2016,2066.66,2045.56,2067.33,2043.09
04/05/2016,2045.17,2062.50,2062.50,2042.56
04/04/2016,2066.13,2073.19,2074.02,2062.57
04/01/2016,2072.78,2056.62,2075.07,2043.98
03/31/2016,2059.74,2063.77,2067.92,2057.46
03/30/2016,2063.95,2058.27,2072.21,2058.27
03/29/2016,2055.01,2035.75,2055.91,2028.31
03/28/2016,2037.05,2037.89,2042.67,2031.96
03/24/2016,2035.94,2032.48,2036.04,2022.49
03/23/2016,2036.71,2048.55,2048.55,2034.86
03/22/2016,2049.80,2048.64,2056.60,2040.57
03/21/2016,2051.60,2047.88,2053.91,2043.14
03/18/2016,2049.58,2041.16,2052.36,2041.16
03/17/2016,2040.59,2026.90,2046.24,2022.16
03/16/2016,2027.22,2014.24,2032.02,2010.04
03/15/2016,2015.93,2015.27,2015.94,2005.23
03/14/2016,2019.64,2019.27,2024.57,2012.05
03/11/2016,2022.19,1994.71,2022.37,1994.71
03/10/2016,1989.57,1990.97,2005.08,1969.25
03/09/2016,1989.26,1981.44,1992.69,1979.84
03/08/2016,1979.26,1996.88,1996.88,1977.43
03/07/2016,2001.76,1996.11,2006.12,1989.38
03/04/2016,1999.99,1994.01,2009.13,1986.77
03/03/2016,1993.40,1985.60,1993.69,1977.37
03/02/2016,1986.45,1976.60,1986.51,1968.80
03/01/2016,1978.35,1937.09,1978.35,1937.09
02/29/2016,1932.23,1947.13,1958.27,1931.81
02/26/2016,1948.05,1954.95,1962.96,1945.78
02/25/2016,1951.70,1931.87,1951.83,1925.41
02/24/2016,1929.80,1917.56,1932.08,1891.00
02/23/2016,1921.27,1942.38,1942.38,1919.44
02/22/2016,1945.50,1924.44,1946.70,1924.44
02/19/2016,1917.78,1916.74,1918.78,1902.17
02/18/2016,1917.83,1927.57,1930.00,1915.09
02/17/2016,1926.82,1898.80,1930.68,1898.80
02/16/2016,1895.58,1871.44,1895.77,1871.44
02/12/2016,1864.78,1833.40,1864.78,1833.40
02/11/2016,1829.08,1847.00,1847.00,1810.10
02/10/2016,1851.86,1857.10,1881.60,1850.32
02/09/2016,1852.21,1848.46,1868.25,1834.94
02/08/2016,1853.44,1873.25,1873.25,1828.46
02/05/2016,1880.05,1913.07,1913.07,1872.65
02/04/2016,1915.45,1911.67,1927.35,1900.52
02/03/2016,1912.53,1907.07,1918.01,1872.23
02/02/2016,1903.03,1935.26,1935.26,1897.29
02/01/2016,1939.38,1936.94,1947.20,1920.30
01/29/2016,1940.24,1894.00,1940.24,1894.00
01/28/2016,1893.36,1885.22,1902.96,1873.65
01/27/2016,1882.95,1902.52,1916.99,1872.70
01/26/2016,1903.63,1878.79,1906.73,1878.79
01/25/2016,1877.08,1906.28,1906.28,1875.97
01/22/2016,1906.90,1877.40,1908.85,1877.40
01/21/2016,1868.99,1861.46,1889.85,1848.98
01/20/2016,1859.33,1876.18,1876.18,1812.29
01/19/2016,1881.33,1888.66,1901.44,1864.60
01/15/2016,1880.33,1916.68,1916.68,1857.83
01/14/2016,1921.84,1891.68,1934.47,1878.93
01/13/2016,1890.28,1940.34,1950.33,1886.41
01/12/2016,1938.68,1927.83,1947.38,1914.35
01/11/2016,1923.67,1926.12,1935.65,1901.10
01/08/2016,1922.03,1945.97,1960.40,1918.46
01/07/2016,1943.09,1985.32,1985.32,1938.83
01/06/2016,1990.26,2011.71,2011.71,1979.05
01/05/2016,2016.71,2013.78,2021.94,2004.17
01/04/2016,2012.66,2038.20,2038.20,1989.68
12/31/2015,2043.94,2060.59,2062.54,2043.62
12/30/2015,2063.36,2077.34,2077.34,2061.97
12/29/2015,2078.36,2060.54,2081.56,2060.54
12/28/2015,2056.50,2057.77,2057.77,2044.20
12/25/2015,2060.99,0.00,0.00,0.00
12/24/2015,2060.99,2063.52,2067.36,2058.73
12/23/2015,2064.29,2042.20,2064.73,2042.20
12/22/2015,2038.97,2023.15,2042.74,2020.49
12/21/2015,2021.15,2010.27,2022.90,2005.93
12/18/2015,2005.55,2040.81,2040.81,2005.33
12/17/2015,2041.89,2073.76,2076.37,2041.66
12/16/2015,2073.07,2046.50,2076.72,2042.43
12/15/2015,2043.41,2025.55,2053.87,2025.55
12/14/2015,2021.94,2013.37,2022.92,1993.26
12/11/2015,2012.37,2047.27,2047.27,2008.80
12/10/2015,2052.23,2047.93,2067.65,2045.67
